Class label,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
1,13.67,1.9,2.21,22.0,123,2.15,1.96,0.31,1.7,4.6,0.77,3.12,1480
1,12.86,1.35,2.32,18.0,122,2.75,2.38,0.34,1.6,4.5,1.04,3.35,1035
1,13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320
1,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.74,5.0,1.06,3.38,600
1,13.48,1.81,2.41,20.0,100,2.65,2.6,0.27,1.28,3.25,1.01,3.35,1180
1,13.07,1.5,2.1,15.5,98,2.6,2.64,0.28,1.66,3.4,1.0,3.1,680
1,12.45,3.03,2.64,27.0,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880
2,12.37,2.32,2.24,19.5,108,2.95,2.87,0.29,1.95,4.5,1.04,3.48,1045
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,13.67,1.9,2.21,22.0,123,2.15,1.96,0.31,1.7,4.6,0.77,3.12,1480
2,12.86,1.35,2.32,18.0,122,2.75,2.38,0.34,1.6,4.5,1.04,3.35,1035
2,13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320
2,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.74,5.0,1.06,3.38,600
2,13.48,1.81,2.41,20.0,100,2.65,2.6,0.27,1.28,3.25,1.01,3.35,1180
2,13.07,1.5,2.1,15.5,98,2.6,2.64,0.28,1.66,3.4,1.0,3.1,680
2,12.45,3.03,2.64,27.0,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880
2,12.37,2.32,2.24,19.5,108,2.95,2.87,0.29,1.95,4.5,1.04,3.48,1045
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.37,2.32,2.24,19.5,108,2.95,2.87,0.29,1.95,4.5,1.04,3.48,1045
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.37,2.32,2.24,19.5,108,2.95,2.87,0.29,1.95,4.5,1.04,3.48,1045
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.37,2.32,2.24,19.5,108,2.95,2.87,0.29,1.95,4.5,1.04,3.48,1045
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.37,2.32,2.24,19.5,108,2.95,2.87,0.29,1.95,4.5,1.04,3.48,1045
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.37,2.32,2.24,19.5,108,2.95,2.87,0.29,1.95,4.5,1.04,3.48,1045
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.37,2.32,2.24,19.5,108,2.95,2.87,0.29,1.95,4.5,1.04,3.48,1045
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
2,12.29,1.61,2.21,20.4,103,2.56,2.62,0.28,1.82,3.7,1.11,3.29,920
2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680
2,12.08,1.39,2.5,22.0,97,2.8,3.05,0.2,1.95,2.9,1.5,2.85,1024
2,12.42,1.61,2.19,22.5,102,2.3,2.3,0.23,1.63,2.9,0.92,3.08,835
